ma,year,MAR,NI,DR_SYNCH,MCAP,LEV,M/B,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
AME,2022,0.664982532,0.077309302,1,27.02895701,0.643072759,0.715267221,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AME,2023,-0.298055395,0.038704271,4,26.6234919,0.687247897,0.4639995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AMV,2016,1.489265559,0.112793486,3,24.1807254,0.410037437,2.634234842,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2017,-0.219532876,1.233477612,2,27.60411787,0.153767327,2.769995124,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2018,1.902372881,0.225460523,6,27.1457455,0.125133033,1.079610904,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2019,0.211163289,0.364475598,3,26.94761672,0.092187706,0.637821307,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2020,-0.358332268,0.171742917,9,26.70165849,0.110014052,0.481940904,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AMV,2021,-0.222138196,0.198355641,9,26.48808387,0.206404646,0.262619604,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AMV,2022,-0.361749261,0.176909263,10,26.98556368,0.16241114,0.312755742,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AMV,2023,-0.235824842,0.026411068,10,26.93427039,0.143358936,0.29477932,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ANV,2016,-0.319607113,0.025593248,4,27.38945898,0.566241472,0.599996467,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2017,1.136701145,0.183345011,5,28.85515348,0.484159962,2.439961363,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2018,0.384228807,0.177603678,7,28.65876283,0.460453818,1.512323339,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2019,-0.105711171,0.251916763,8,28.78253659,0.422903997,1.325609169,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2020,0.086373069,0.063917663,9,28.90746251,0.517183318,1.535519674,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ANV,2021,0.362565812,0.035921938,9,28.94586165,0.522099513,1.59452816,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ANV,2022,-0.292610584,0.180912,10,29.02643109,0.47286287,1.400536031,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
